persona_id,archetype,lens,appeal,interest,intent,scrolled_to_end,exit_section,hook_quote,friction_quote,invalid_flags
P01,A,-,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P02,A,-,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",전문가 검토가 필요한 범위와 파일럿 제공 범위는 신청 후 개별 안내합니다.,
P03,A,-,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P04,A,-,3,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
P05,A,ai_resist,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P06,A,-,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P07,A,-,3,3,3,Y,,"번역 이후에도, 두 번 막힙니다.",YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
P08,A,approval,3,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P09,B,-,4,4,3,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P10,B,approval,4,4,3,Y,,"번역 이후에도, 두 번 막힙니다.","01 Diagnose와 02 Create는 현재 MVP입니다. 03 Connect는 MVP 검증 이후 제공을 검토하는 확장 서비스로, 지금 사용할 수 있는 기능이 아닙니다.",
P11,B,-,4,4,3,Y,,"번역 이후에도, 두 번 막힙니다.",목표 채널 Qoo10 아마존JP 자사몰 라쿠텐 공식샵 라쿠텐 리셀러 기타,
P12,B,no_jp,3,3,3,Y,,"번역 이후에도, 두 번 막힙니다.",Claim & Evidence Gap,
P13,B,ai_resist,4,3,3,Y,,"번역 이후에도, 두 번 막힙니다.",지원 채널은 확정된 범위만 표기합니다. 화면의 채널은 예시 표기입니다.,
P14,B,approval,4,4,4,Y,,진단 결과를 받은 뒤에도 목표 채널에 맞는 썸네일과 상세페이지를 제작사에 다시 요청하고 반복해서 수정해야 합니다.,YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
P15,C,approval,4,4,4,Y,,진단 결과를 받은 뒤에도 목표 채널에 맞는 썸네일과 상세페이지를 제작사에 다시 요청하고 반복해서 수정해야 합니다.,지원 채널은 확정된 범위만 표기합니다. 화면의 채널은 예시 표기입니다.,
P16,C,-,4,4,4,Y,,진단 결과를 받은 뒤에도 목표 채널에 맞는 썸네일과 상세페이지를 제작사에 다시 요청하고 반복해서 수정해야 합니다.,YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
P17,C,approval;no_jp,4,4,4,Y,,진단 결과를 받은 뒤에도 목표 채널에 맞는 썸네일과 상세페이지를 제작사에 다시 요청하고 반복해서 수정해야 합니다.,파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P18,C,-,4,4,4,Y,,"번역 이후에도, 두 번 막힙니다.",파일럿 제공 범위와 모집 규모는 신청 후 개별 안내합니다.,
P19,D,ai_resist;no_jp,3,3,2,Y,,"카피와 근거를 진단하고, 일본 채널에 맞는 크리에이티브로",YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
P20,D,ai_resist;no_jp,3,3,2,Y,,먼저 무료 파일럿 진단으로 확인하세요.,YOAKE는 법적 적합성이나 심의 통과를 보증하지 않습니다.,
